"species_id","hindfoot_half"
"NL",16
"NL",15.5
"NL",16
"NL",17
"NL",16
"NL",16.5
"NL",16
"NL",16
"NL",16.5
"NL",15
"NL",16.5
"NL",15.5
"NL",16.5
"NL",15
"NL",17
"NL",17
"NL",16
"NL",17
"NL",16.5
"NL",15.5
"NL",16
"NL",16.5
"NL",15
"NL",16.5
"NL",15.5
"NL",16.5
"NL",15
"NL",16
"NL",16
"NL",16
"NL",16.5
"NL",16
"NL",15.5
"NL",16
"NL",16
"NL",16
"NL",16
"NL",16
"NL",16.5
"NL",17.5
"NL",15.5
"NL",16
"NL",15
"NL",15
"NL",16
"NL",16
"NL",15.5
"NL",15.5
"NL",16.5
"NL",16
"NL",17
"NL",15.5
"NL",15.5
"NL",16
"NL",17
"NL",15.5
"NL",17
"NL",16
"NL",16.5
"NL",16.5
"NL",16
"NL",16.5
"NL",17
"NL",15
"NL",14
"NL",16
"NL",15
"NL",16
"NL",15
"NL",16.5
"NL",16
"NL",16.5
"NL",16
"NL",16.5
"NL",17
"NL",15
"NL",17
"NL",17
"NL",17
"NL",17
"NL",15.5
"NL",17
"NL",17.5
"NL",17.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",15.5
"NL",16.5
"NL",16.5
"NL",16
"NL",15.5
"NL",18
"NL",18
"NL",10.5
"NL",16
"NL",16.5
"NL",16
"NL",18.5
"NL",16
"NL",17.5
"NL",17
"NL",16
"NL",17.5
"NL",17
"NL",16
"NL",16
"NL",16.5
"NL",16.5
"NL",16.5
"NL",16.5
"NL",17
"NL",16
"NL",17
"NL",15
"NL",16.5
"NL",16.5
"NL",17
"NL",16.5
"NL",16.5
"NL",16.5
"NL",10.5
"NL",17
"NL",15.5
"NL",15
"NL",15
"NL",15.5
"NL",15
"NL",17
"NL",15.5
"NL",17
"NL",16
"NL",17
"NL",16.5
"NL",16.5
"NL",16
"NL",16.5
"NL",16.5
"NL",15
"NL",16.5
"NL",17
"NL",16.5
"NL",15.5
"NL",16.5
"NL",16.5
"NL",14.5
"NL",16
"NL",15.5
"NL",16.5
"NL",15.5
"NL",16
"NL",16.5
"NL",16
"NL",15
"NL",16.5
"NL",14.5
"NL",15.5
"NL",16.5
"NL",16.5
"NL",16
"NL",16.5
"NL",16
"NL",16
"NL",15
"NL",15.5
"NL",15.5
"NL",18
"NL",16.5
"NL",16.5
"NL",15
"DM",18.5
"DM",18.5
"DM",12.5
"DM",18.5
"DM",18
"DM",18.5
"DM",18
"DM",18
"DM",18.5
"DM",18.5
"DM",19
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",18
"DM",19
"DM",18
"DM",18.5
"DM",18
"DM",18.5
"DM",19
"DM",18.5
"DM",18.5
"DM",18
"DM",18.5
"DM",17.5
"DM",16.5
"DM",18.5
"DM",17.5
"DM",18.5
"DM",19
"DM",18
"DM",18.5
"DM",18
"DM",18
"DM",19
"DM",18.5
"DM",18
"DM",18.5
"DM",19
"DM",18
"DM",19
"DM",18
"DM",19
"DM",18
"DM",19
"DM",19
"DM",19
"DM",18.5
"DM",19
"DM",18
"DM",19
"DM",18.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18
"DM",19.5
"DM",18.5
"DM",18
"DM",18.5
"DM",19
"DM",17.5
"DM",18.5
"DM",17.5
"DM",18.5
"DM",18.5
"DM",18
"DM",18
"DM",17.5
"DM",17
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",18
"DM",17.5
"DM",18
"DM",19
"DM",17.5
"DM",17.5
"DM",18
"DM",17.5
"DM",17.5
"DM",17
"DM",17.5
"DM",18
"DM",17
"DM",17
"DM",18.5
"DM",17.5
"DM",17
"DM",17
"DM",17.5
"DM",17.5
"DM",18.5
"DM",17.5
"DM",17.5
"DM",18.5
"DM",18.5
"DM",18
"DM",18.5
"DM",18
"DM",18.5
"DM",17.5
"DM",18.5
"DM",17
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",17
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18
"DM",18.5
"DM",17.5
"DM",17.5
"DM",17
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18
"DM",17
"DM",17
"DM",18
"DM",18.5
"DM",18.5
"DM",17.5
"DM",17
"DM",18
"DM",18.5
"DM",19
"DM",18
"DM",18
"DM",16.5
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18
"DM",18
"DM",18
"DM",17.5
"DM",18
"DM",17
"DM",17.5
"DM",18
"DM",17
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",17.5
"DM",18.5
"DM",18
"DM",18.5
"DM",17
"DM",17.5
"DM",18.5
"DM",18
"DM",18.5
"DM",17.5
"DM",18.5
"DM",17.5
"DM",18.5
"DM",18
"DM",17.5
"DM",18
"DM",17.5
"DM",17
"DM",17.5
"DM",17.5
"DM",18
"DM",17.5
"DM",18
"DM",17.5
"DM",17.5
"DM",18.5
"DM",18
"DM",18.5
"DM",17.5
"DM",18.5
"DM",18.5
"DM",17.5
"DM",18
"DM",17.5
"DM",16.5
"DM",17.5
"DM",18
"DM",16
"DM",18
"DM",16.5
"DM",18.5
"DM",16
"DM",18
"DM",16.5
"DM",18.5
"DM",17.5
"DM",17.5
"DM",17
"DM",17.5
"DM",18.5
"DM",18.5
"DM",16.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",19
"DM",17
"DM",18.5
"DM",18.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",19
"DM",18
"DM",18.5
"DM",17.5
"DM",19
"DM",18.5
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",17
"DM",17.5
"DM",19
"DM",18.5
"DM",19
"DM",17
"DM",17
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",17.5
"DM",17.5
"DM",19
"DM",17
"DM",19
"DM",17.5
"DM",18
"DM",17.5
"DM",18.5
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",17.5
"DM",16
"DM",18
"DM",17.5
"DM",17
"DM",18.5
"DM",17.5
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",18
"DM",18
"DM",17.5
"DM",17
"DM",16.5
"DM",18.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",17.5
"DM",18
"DM",18.5
"DM",17
"DM",18
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",18
"DM",18.5
"DM",19
"DM",18.5
"DM",18.5
"DM",18
"DM",19
"DM",18.5
"DM",18.5
"DM",17.5
"DM",16
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18
"DM",17
"DM",18.5
"DM",18.5
"DM",17.5
"DM",18
"DM",18
"DM",18
"DM",18
"DM",18
"DM",18.5
"DM",18
"DM",17.5
"DM",18
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18
"DM",17
"DM",18
"DM",19.5
"DM",17.5
"DM",18
"DM",18
"DM",18
"DM",19
"DM",19
"DM",18
"DM",18
"DM",18.5
"DM",18
"DM",18.5
"DM",18.5
"DM",18.5
"DM",18
"DM",18
"DM",18.5
"DM",17.5
"DM",15.5
"DM",18.5
"DM",17
"DM",16.5
"DM",17.5
"DM",17
"DM",16.5
"DM",18
"DM",17
"DM",18
"DM",17.5
"DM",17.5
"DM",18
"DM",18.5
"DM",18.5
"DM",17.5
"DM",17.5
"DM",16.5
"DM",18
"DM",18.5
"DM",18
"DM",18
"DM",20
"DM",17.5
"DM",17.5
"DM",18
"DM",18
"DM",19
"DM",18.5
"DM",17.5
"DM",17
"DM",20
"DM",17.5
"DM",18
"DM",18
"DM",18.5
"DM",19
"DM",18.5
"DM",18.5
"DM",17
"DM",20
"DM",18
"DM",17.5
"DM",19
"DM",18.5
"DM",18
"DM",20
"DM",17.5
"DM",18.5
"DM",20
"DM",18
"DM",15
"DM",17.5
"DM",18
"DM",16.5
"DM",17.5
"DM",17.5
"DM",18
"DM",19
"DM",19
"DM",17
"DM",17.5
"DM",17.5
"DM",18
"DM",19
"DM",17.5
"DM",18.5
"DM",17
"DM",18
"DM",18.5
"DM",17
"DM",17.5
"DM",17.5
